mode_id,model,total_attempts,successful_attempts,failed_attempts,success_rate,average_time_seconds_success_only,min_time_seconds_success_only,max_time_seconds_success_only,avg_tokens_per_second_success_only,avg_total_duration_ns_success_only,avg_prompt_eval_count_success_only,avg_eval_count_success_only,avg_gpu_utilization_percent_success_only,avg_gpu_memory_used_mib_success_only,avg_gpu_temperature_c_success_only,avg_gpu_power_draw_w_success_only,avg_gpu_energy_wh_success_only,processor,loaded_size,context,done_reason_main_success_only,done_reason_success_only_unique_count,done_reason_success_only_counts,postprocessing_success_only_main,postprocessing_success_only_unique_count,postprocessing_success_only_counts
vocabulary_antonym,llama3.1_8b,100,100,0,1.0,8.9769,8.594,9.958,31.9002,6918582237.0,202.0,186.23,56.1886,5116.0,61.4657,60.8917,0.102493,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_antonym,ministral-3_3b,100,96,4,0.96,5.2735,5.072,5.519,69.749,3218213512.5,197.0,195.6146,72.7656,4338.0,52.6719,62.5065,0.039937,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 96}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 96}"
vocabulary_antonym,qwen3.5_4b,100,100,0,1.0,8.3479,8.113,8.988,40.0288,6293213437.0,222.0,211.13,77.0941,5396.0,59.3712,62.9314,0.088608,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_definition,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,88,12,0.88,17.4176,13.602,24.705,48.4969,15360549675.0,421.0,568.7045,91.6175,5118.7825,64.4726,62.3883,0.239777,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 88}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 88}"
vocabulary_definition,deepseek-r1_8b,100,94,6,0.94,9.5126,8.378,14.292,41.1279,7454609596.81,211.0,255.8085,88.5003,5229.1161,59.2925,61.7309,0.10961,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 94}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 94}"
vocabulary_definition,llama3.1_8b,100,99,1,0.99,11.8921,10.636,17.339,32.0251,9840619278.79,216.0,268.1414,56.3479,5107.5281,63.8491,60.6244,0.145196,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 99}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 99}"
vocabulary_definition,ministral-3_3b,100,98,2,0.98,7.7324,6.37,9.887,71.1464,5682636331.63,212.0,371.102,80.8306,4338.0,60.1529,62.1138,0.082038,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 98}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 98}"
vocabulary_definition,qwen3.5_4b,100,100,0,1.0,11.3252,9.738,15.156,39.8869,9265630969.0,237.0,320.78,78.6625,5390.4833,61.2221,62.7022,0.140206,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_match,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,99,1,0.99,9.6748,7.832,15.266,47.8567,7616966327.27,417.0,277.7172,88.787,5122.0,60.2289,62.0231,0.115676,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 99}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 99}"
vocabulary_match,deepseek-r1_8b,100,98,2,0.98,7.2637,6.74,8.424,41.0016,5205638052.04,214.0,175.898,85.0337,5234.0,56.4077,62.0967,0.073715,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 98}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 98}"
vocabulary_match,llama3.1_8b,100,100,0,1.0,11.6155,9.096,17.939,31.9057,9558320160.0,221.0,262.08,56.5776,5115.9983,63.641,60.7156,0.140974,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_match,ministral-3_3b,100,90,10,0.9,5.5854,4.849,6.815,69.7033,3526913856.67,216.0,216.8889,73.5472,4338.0,56.7149,62.1322,0.047533,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 90}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 90}"
vocabulary_match,qwen3.5_4b,100,100,0,1.0,7.8555,7.168,8.68,40.2627,5804849235.0,242.0,190.91,77.8465,5396.0,59.5258,62.9781,0.087285,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_synonym,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,100,0,1.0,11.5194,11.199,12.725,47.6158,9459926285.0,383.0,348.77,90.5031,5122.0,61.9176,62.4251,0.142376,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_synonym,deepseek-r1_8b,100,99,1,0.99,7.9159,7.529,8.721,39.9079,5857706147.47,196.0,198.8687,86.238,5234.0,58.5539,61.9513,0.087253,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 99}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 99}"
vocabulary_synonym,llama3.1_8b,100,100,0,1.0,9.4861,9.009,9.977,31.8831,7428602425.0,201.0,200.89,56.0564,5116.0,62.2093,60.7898,0.105364,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_synonym,ministral-3_3b,100,94,6,0.94,5.4315,5.239,5.799,69.6187,3373385677.66,195.0,206.266,75.7864,4338.0,52.9176,62.4031,0.049392,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 94}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 94}"
vocabulary_synonym,qwen3.5_4b,100,100,0,1.0,8.5624,8.255,8.888,40.1211,6513205806.0,221.0,218.71,77.6239,5396.0,59.8936,62.8442,0.096502,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
writing,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,100,0,1.0,16.607,16.463,23.008,48.5004,14551139658.0,1083.0,533.89,90.711,5118.8705,63.1565,62.1591,0.228656,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
writing,deepseek-r1_8b,100,100,0,1.0,22.2424,22.162,25.996,40.6477,20186858336.0,549.0,716.42,90.0175,5231.6709,63.3594,61.5422,0.308491,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
